model	n	prevalence	brier	log_loss	roc_auc	ece	mce	brier_lo	brier_hi	log_loss_lo	log_loss_hi	ece_lo	ece_hi	mce_lo	mce_hi	roc_auc_lo	roc_auc_hi
TrunCat	5749	0.45538354496434164	0.1876552294875297	0.558218655489086	0.7853404885080537	0.021824798257992235	0.03799196733284932	0.18257209052320467	0.19226592486906516	0.5467293358340111	0.5687730492379897	0.017174474910423367	0.03499822371407576	0.03512270716883065	0.08310117188453436	0.7747053594216736	0.7969467042980455
TrunKitten	5749	0.45538354496434164	0.18929614749843862	0.5621656664559236	0.7805766480687104	0.02236000992682069	0.057506508861054906	0.18415048369292883	0.19438294681023766	0.5502873728161746	0.5739584503532157	0.015766917342588505	0.0343504971612816	0.03547333649531713	0.09723550945978722	0.7685867975199681	0.7923418747428207
