comparison,delta_auc,ci_lo,ci_hi,ci_crosses_zero
trunkitten_10_baseline vs drop_both_N8 (shipped),0.003578522666579542,-4.417827766584502e-05,0.0075467139984524085,True
best_swap vs drop_both_N8 (shipped),0.004242793485095375,0.0012773071035104085,0.007438459292445925,False
best_swap vs trunkitten_10_baseline,0.000664270818515833,-0.00221889361539946,0.0034331285563659253,True
