,last.EJC,relativePTClocation,half_life_PC1,cdsseqs_AU_content,mut.exon,phylop_ptc_to_ejc_median,AmountExonsAfter,phastcons_new3utr_first200_median,cdsseqs_UC_content,MedianExpression_log2,cdsseq_AUcontentlast200,first.200,CADD_phred,threeUTR_UC_content,log2_CDS,phylop_new3utr_first200_median,first.100,isoform_count,gnomAD_exome_ALL,readthrough_score_hek293t,fiveUTR_AU_content,ejc_count_in_window,length.mutated.exon,phastcons_ejc_100bp_median,utr3_all.SRSF7,ptc_to_ejc.SFPQ,threeUTR_AU_content,PTC.plus1.aa,fiveUTR_AUcontentlast100,newutr_all.G3BP1
threeUTR_UC_content,0.10191473336505379,0.014280227617417254,0.058009388608589244,-0.0672927731290485,0.026191342926555047,0.08740515359723842,0.026629672818782184,0.10650661239090582,-0.053291911422177984,0.18501749775794676,-0.07622691274722289,0.0731590123810246,0.07166806063272002,1.0,0.08665854660828955,0.09723347074730823,0.04505864525746506,0.07816997034105076,-0.02075561013217862,-0.012148638344474777,0.03185480051738833,0.060937243990226944,-0.03174503613630045,0.04722288582733807,0.14195801920788736,-0.027377640556136743,0.39996810714341346,0.06260896859845252,0.052667388489691255,0.09066569061715685
log2_CDS,0.21582991902787085,0.05194118768652662,-0.1633422611194705,0.011980913200611511,0.5940721349094733,0.1140253646998995,0.5096823716216606,0.09973550399355349,-0.027331284772605283,-0.0336919043096376,-0.06053664421276556,0.2993611019555824,0.10208663994761608,0.08665854660828955,1.0,0.1169120160061189,0.1877171743492804,0.22621365069352953,0.00919204347784174,0.008406644694693814,-0.07944520513933447,0.12798936538147843,0.1982305655877203,0.08824077106588213,0.027797557699131014,0.07370606244817265,0.045690378986333276,0.07491254896327733,0.0718687243884689,0.2107846942276513
phylop_new3utr_first200_median,0.4158479345015174,-0.21754714732850255,0.10736231498151412,0.14663775091950607,0.049335857003761856,0.8421929383800085,0.2565312625576162,0.706656210617408,-0.0489045375859669,0.267677022296005,0.08530476095466495,0.010843814120907933,0.2423600178288999,0.09723347074730823,0.1169120160061189,1.0,0.01656861297045502,0.09683743346229678,-0.018130786462778662,0.04467459305492323,-0.1146267773526572,0.20792229210112192,-0.19793692886015504,0.4541401494647827,0.08189525669225045,-0.11453472232442495,0.14564840079592362,0.11063231600041977,-0.020704269660079336,0.021160031412713748
first.100,0.11680087802336929,0.4199139994458145,0.03623817052212882,0.005306694101703278,0.21169588630948188,0.047101499035191875,0.07598682045342887,0.0010703170594878993,0.009704052906719095,0.005521119628331104,0.004346394404662177,0.6705526928191453,0.08674132714551,0.04505864525746506,0.1877171743492804,0.01656861297045502,1.0,0.043218325919021694,0.001963735801313977,0.014535757488738444,0.03165438402768136,0.02167785562640627,0.06101137023747584,0.013206959555829878,0.008540971912277139,0.015601425804859022,0.03330110869466995,0.07640137583907357,0.014237110819008742,0.02069281850474354
isoform_count,0.15171775263069884,-0.009444650977707083,0.18817702515838078,-0.06541168996033575,0.20875580743001423,0.1103809944447683,0.19422917760201372,0.13341610605603615,0.04620914202247328,0.21488082719777452,-0.12654300998105797,0.07803947340786441,0.0642050710945058,0.07816997034105076,0.22621365069352953,0.09683743346229678,0.043218325919021694,1.0,0.014997300104716447,-0.014837288821620118,-0.03267016436623524,0.2105433111422413,-0.10941193539569764,0.04068250944843126,-0.053766550940232825,-0.03260659196177141,-0.07433091944546705,0.05480418401732968,0.05581559481201632,0.0739226927497961
gnomAD_exome_ALL,0.005954000624764626,0.0012003112858479587,0.008263308866135534,-0.019410434582073845,0.0046049289008082955,-0.021883672463149925,0.007830598897558745,-0.013695614450163825,-0.004886045634671444,-0.01822905646845127,0.0035392205884497356,0.003087182945701091,0.005083016214426619,-0.02075561013217862,0.00919204347784174,-0.018130786462778662,0.001963735801313977,0.014997300104716447,1.0,0.011107804767108683,0.016698004828014226,-0.01310857052400792,-0.006932449219179936,-0.002305195393509199,-0.002946593641585987,0.022464122054875458,-0.023844703898279983,0.06406057991154812,0.01357868380579247,0.004133022623321083
readthrough_score_hek293t,0.012587777916794652,0.008489252711652573,-0.002885328590556761,-0.0007854209810362863,0.018414854299653834,0.03818005312298297,0.00914961125079878,0.02855975542634403,0.06644571078295372,0.0006184441466519562,0.002036421551624975,0.013031666972415172,-0.05124431244872459,-0.012148638344474777,0.008406644694693814,0.04467459305492323,0.014535757488738444,-0.014837288821620118,0.011107804767108683,1.0,-0.005752736979385416,0.036443349656918915,-0.006889484966075703,0.025781802846550593,0.017763864224053162,0.011815961609599242,-0.0026869364654426384,0.4354550600621704,-0.010427328638654167,-0.01042109627859734
fiveUTR_AU_content,0.030050326228750885,-0.034277173820395926,-0.1399685307872296,0.2928172700474791,-0.0890961100286169,-0.10062364187968015,-0.05729427551506556,-0.12813401783224146,-0.12015759000988292,-0.2361561826734355,0.23393286928080906,0.054287803345122364,-0.12091189702999233,0.03185480051738833,-0.07944520513933447,-0.1146267773526572,0.03165438402768136,-0.03267016436623524,0.016698004828014226,-0.005752736979385416,1.0,-0.11702517956820992,0.05025995570601055,-0.024186858899416252,-0.010077768993153968,-0.013963819589266947,0.216342767220359,0.07171988655478548,0.47086952939175225,-0.1587619253124877
ejc_count_in_window,0.2734341207751168,-0.13962126154693066,0.12788030608010795,-0.1056289366301094,0.03348797948946434,0.2276132452620339,0.20483560614278076,0.21374282394992813,-0.0059783470567144345,0.27332572981825193,-0.1169821865777056,0.0011684014019542437,0.0753542556206299,0.060937243990226944,0.12798936538147843,0.20792229210112192,0.02167785562640627,0.2105433111422413,-0.01310857052400792,0.036443349656918915,-0.11702517956820992,1.0,-0.10596330735738682,0.0797793974270869,-0.03933748227808459,-0.04222002510003481,-0.07013111898936296,0.07014165968044352,-0.07200995149260071,0.12530836590900868
length.mutated.exon,0.2547623906560681,0.015586680956832294,-0.27658177580972454,0.02069042317562743,-0.08122145901574199,-0.22109125669608093,-0.10534258009715901,-0.2168926738358617,-0.051600088426617584,-0.07946985609018757,0.021029197562755977,0.06999318493138258,-0.1813042443148534,-0.03174503613630045,0.1982305655877203,-0.19793692886015504,0.06101137023747584,-0.10941193539569764,-0.006932449219179936,-0.006889484966075703,0.05025995570601055,-0.10596330735738682,1.0,-0.055277428243796736,0.03545062888586093,0.321380200437358,0.025308132999909704,0.057953500627209324,0.09801166728354159,0.02871186520633408
phastcons_ejc_100bp_median,0.15053560730941418,-0.0718333431516667,-0.026669440391250004,0.24614584361433914,0.03104067704586054,0.4588091554937476,0.10745268881722388,0.3398428524893697,-0.09728695358609851,0.1479596644651182,0.19068116121422424,0.013667706152995049,0.06847821888853872,0.04722288582733807,0.08824077106588213,0.4541401494647827,0.013206959555829878,0.04068250944843126,-0.002305195393509199,0.025781802846550593,-0.024186858899416252,0.0797793974270869,-0.055277428243796736,1.0,0.07167605178007483,-0.06767104398049749,0.20487651364022433,0.05268647202589776,0.044714879290770844,-0.05642852750082559
utr3_all.SRSF7,0.01537340057054767,0.0002845999641630961,-0.1026750265357792,0.06727514188130693,-0.013857853055654425,0.06075556197974529,-0.014756871456874364,0.050517097566568636,-0.025840490502087338,-0.01889452696298015,0.035049088168567895,0.02349106453596067,0.012367217727084183,0.14195801920788736,0.027797557699131014,0.08189525669225045,0.008540971912277139,-0.053766550940232825,-0.002946593641585987,0.017763864224053162,-0.010077768993153968,-0.03933748227808459,0.03545062888586093,0.07167605178007483,1.0,-0.006460291107295035,0.06722091815297657,0.06594160764640927,0.040490613726294686,0.14138157090902403
ptc_to_ejc.SFPQ,0.15140403646319345,-0.07714606792249866,-0.14472317143087568,-0.1378559013293623,-0.05430057204700485,-0.16145451351711285,-0.06225306899938816,-0.09313385838726113,0.025891340162702576,-0.01940641949895942,-0.1130168949074242,0.029084587411188672,-0.12283618878626087,-0.027377640556136743,0.07370606244817265,-0.11453472232442495,0.015601425804859022,-0.03260659196177141,0.022464122054875458,0.011815961609599242,-0.013963819589266947,-0.04222002510003481,0.321380200437358,-0.06767104398049749,-0.006460291107295035,1.0,-0.09732354899945053,0.09361189137264443,0.03604897510228122,0.09606466932278897
threeUTR_AU_content,0.043158150389309896,0.0011239809462133285,-0.14284447014808538,0.6350064395747171,-0.010393521728562151,0.12659836951783468,-0.0030313486109706973,0.13987053525095516,-0.29655608909649134,0.002498670643357964,0.600483656762415,0.039967468572657726,0.0029113660890442697,0.39996810714341346,0.045690378986333276,0.14564840079592362,0.03330110869466995,-0.07433091944546705,-0.023844703898279983,-0.0026869364654426384,0.216342767220359,-0.07013111898936296,0.025308132999909704,0.20487651364022433,0.06722091815297657,-0.09732354899945053,1.0,0.10143148457957617,0.18611721996985464,-0.285445484515395
PTC.plus1.aa,0.10443996833149609,0.13118953488369534,0.07019170518165549,0.16908943726823975,0.0710626616810361,0.1195068713593893,0.08674683824165146,0.09967245047857455,0.1386185180037829,0.07630461083522562,0.1555396907216959,0.07209066264321012,0.0817420035173205,0.06260896859845252,0.07491254896327733,0.11063231600041977,0.07640137583907357,0.05480418401732968,0.06406057991154812,0.4354550600621704,0.07171988655478548,0.07014165968044352,0.057953500627209324,0.05268647202589776,0.06594160764640927,0.09361189137264443,0.10143148457957617,1.0,0.05330315251497378,0.07595198853932854
fiveUTR_AUcontentlast100,0.029005196225666344,-0.0176867675923582,-0.14286385366241028,0.22287606539037016,-0.03686584803971085,-0.0216891721751001,-0.007549876970211428,-0.021265211753515263,-0.07459808511872502,-0.09413319588783085,0.14919713510298813,0.0010992403853164825,-0.06447086367730036,0.052667388489691255,0.0718687243884689,-0.020704269660079336,0.014237110819008742,0.05581559481201632,0.01357868380579247,-0.010427328638654167,0.47086952939175225,-0.07200995149260071,0.09801166728354159,0.044714879290770844,0.040490613726294686,0.03604897510228122,0.18611721996985464,0.05330315251497378,1.0,-0.06506742188581943
newutr_all.G3BP1,0.15053953213877178,-0.1566535853151434,0.03058124423316448,-0.3955215163683584,0.03200015563222072,0.016505595988289427,0.22045749118751493,0.027404079538276584,0.17081065394661202,0.016271042384173328,-0.3728359489784785,0.011088460280183869,-0.0053762821237343566,0.09066569061715685,0.2107846942276513,0.021160031412713748,0.02069281850474354,0.0739226927497961,0.004133022623321083,-0.01042109627859734,-0.1587619253124877,0.12530836590900868,0.02871186520633408,-0.05642852750082559,0.14138157090902403,0.09606466932278897,-0.285445484515395,0.07595198853932854,-0.06506742188581943,1.0
