feature,importance_mean,importance_std,is_categorical
last.EJC,12.73103476662251,1.0614435626628551,True
relativePTClocation,5.703519662098711,0.6698355002489692,False
half_life_PC1,5.287863940569762,0.6422677742986294,False
cdsseqs_AU_content,3.3909362100243507,0.45642379348551154,False
MedianExpression_log2,3.0578241715814327,0.3673470038320031,False
mut.exon,2.6991782747188147,0.8345240191986614,False
log2_CDS,2.220107162008838,0.3598770389608357,False
cdsseqs_UC_content,2.0298978876732883,0.2323169078396282,False
phylop_ptc_to_ejc_median,1.4818573947292975,0.3668698889317758,False
cdsseq_AUcontentlast200,1.436102694800415,0.2820119263064871,False
AmountExonsAfter,1.3868731364044766,0.46622052185078583,False
threeUTR_UC_content,1.2717188639640509,0.434302283187011,False
isoform_count,1.2446364972987947,0.3540519029292574,False
phastcons_new3utr_first200_median,1.225859513633361,0.3576077470684671,False
first.200,1.206716081834029,0.2818552818546337,True
ejc_count_in_window,1.1943899896485894,0.18555871890278547,False
readthrough_score_hek293t,1.1881487567452624,0.2554188310976432,False
CADD_phred,1.1820957618078152,0.3680737143200864,False
fiveUTR_AU_content,1.0619679095369652,0.1983422371811831,False
CodonOptimalityFraction_CDS,0.9503295377695847,0.3573493949738504,False
gnomAD_exome_ALL,0.9392022229175199,0.18572501542395883,False
first.100,0.8958627558748372,0.4286637553545051,True
length.mutated.exon,0.878763641036131,0.25741611709330414,False
threeUTR_AU_content,0.8525679277941425,0.18527617247480643,False
CodonOptimalityFraction_PTCpm100nt,0.8273197562327115,0.12005012705400908,False
fiveUTR_UC_content,0.7980062362716784,0.11167311385030489,False
phylop_utr5_first200_median,0.7788788881979197,0.20636629117135352,False
phylop_old3utr_whole_median,0.7054856707968343,0.24109203567534906,False
relPTC_exon,0.6958314463168375,0.15429265271986978,False
fiveUTR_AUcontentfirst100,0.6793063038742055,0.2906833015916707,False
PTC.plus1.aa,0.6598029641901283,0.5035017070962678,True
log2_5utr,0.659736559484772,0.240949820499973,False
cdsseq_UCcontentfirst200,0.6481876468707843,0.08447014823615223,False
fiveUTR_UCcontentlast100,0.5891690313068345,0.1569878392404675,False
phastcons_utr5_first200_median,0.5863097601844194,0.22599360940730884,False
fiveUTR_UCcontentfirst100,0.5822544589459782,0.2632614979803076,False
cdsseq_UCcontentlast200,0.580590087454676,0.17901617940351955,False
phylop_ejc_100bp_median,0.5684341870350187,0.1891183309172935,False
phylop_new3utr_first200_median,0.5626700162626141,0.16722901731021694,False
ThreeUTR_UCcontentfirst100,0.5591353820900753,0.20895861969711949,False
noncoding.length,0.5299147315947998,0.27197965129649687,False
cdsseq_UCcontentlast100,0.5210057077874632,0.07223090500502968,False
PTC_dist_exon_start_1b,0.5120843578431364,0.039790234759604734,False
phastcons_ptc_to_ejc_median,0.49081519003249563,0.24858077803791864,False
fiveUTR_AUcontentlast100,0.4903926821627347,0.2419724177683631,False
phylop_ptc_100bp_median,0.4838544733943018,0.05655299681350388,False
phastcons_ptc_100bp_median,0.47239307582237683,0.14072808254475028,False
phylop_tx_whole_median,0.4589897181537831,0.14722446485524143,False
log2newUTR,0.4548590572108653,0.20828730641992052,False
newutr_all.G3BP1,0.4512410801309404,0.21955558950969242,False
cdsseq_UCcontentfirst100,0.44693872024703374,0.039194103849395985,False
aug_distance_category,0.4400287789094433,0.27317213781581995,True
cdsseq_AUcontentfirst200,0.43363822533593294,0.10552028496973305,False
cdsseq_AUcontentlast100,0.4292923686736854,0.13266016502086658,False
ThreeUTR_AUcontentlast100,0.4157881074300985,0.22173979023610627,False
phastcons_ejc_100bp_median,0.40824457268346154,0.21577526865098745,False
phastcons_new3utr_whole_median,0.4072435260162873,0.09622717033100539,False
ThreeUTR_UCcontentlast100,0.3785750384348475,0.09951703387311553,False
ThreeUTR_AUcontentfirst100,0.37592935020027224,0.11959650481033712,False
PTC.minus1.aa,0.375246951767402,0.28107648310849026,True
newutr_200.IFIH1,0.344663675141405,0.1861252874884004,False
phylop_new3utr_whole_median,0.3353256410971516,0.20770674193444227,False
cdsseq_AUcontentfirst100,0.32427389543176527,0.07451166001052338,False
EJC.downstream.cut,0.30012755340196806,0.18869598759719106,True
utr3_all.SRSF7,0.29382969887299154,0.20901414783743383,False
phastcons_utr5_whole_median,0.2933860937749774,0.1995114032394321,False
phastcons_tx_whole_median,0.29196441973060716,0.07615052657689549,False
aug_frame_status,0.28876833753726505,0.11807868018387964,True
log2_3utr,0.28259634278748813,0.1554496299728253,False
newutr_all.SRP14,0.27256921020773917,0.1712764839716552,False
ptc_to_ejc.SFPQ,0.26230473754834643,0.1891169982273896,False
phylop_old3utr_first200_median,0.24235851552190804,0.22724507332970814,False
phastcons_old3utr_whole_median,0.2265020192861189,0.12715740937957118,False
newutr_all.ELAVL2,0.2231883819916604,0.1443929510811547,False
ejc_pm100.FMR1,0.20609204131260705,0.14790587461798302,False
kozak_strength,0.20546516517947527,0.10421832855323591,True
fiveutrseqs.uORF,0.1896098111306163,0.08205680704353083,True
ejc_pm100.CELF1,0.18264465453036963,0.13343195003339478,False
newutr_200.SFPQ,0.179747992361184,0.1969618694956593,False
newutr_all.ZC3H10,0.1783635164830518,0.08638088858509799,False
long.exon,0.1695230279033721,0.19794343435867146,True
utr3_200.RBMX,0.16794453626336373,0.1059369440506854,False
PTC.plus2.aa,0.16335461401896006,0.12091921238911182,True
utr3_all.NELFE,0.16037002998971844,0.09896403442903243,False
PTC.minus2.aa,0.15557592683305232,0.15111355236770976,True
ptc_pm100.SRSF3,0.15059858548431646,0.06393952428777772,False
ptc_pm100.SRSF6,0.14886889362234235,0.20673439087895817,False
ptc_pm100.NELFE,0.1471102160076828,0.09146944783494163,False
ptc_pm100.TRA2B,0.142786464841708,0.062427625233290235,False
utr3_200.SRSF7,0.1406324365078945,0.14760408227975613,False
newutr_all.RBMX,0.1399991978980309,0.15168400489140607,False
ptc_pm100.ZC3H10,0.13757600226785174,0.1293991996484115,False
ptc_pm100.HNRNPA1,0.13748642114259718,0.07863321022244592,False
newutr_all.HNRNPM,0.13748603845827018,0.043572827565362474,False
ptc_pm100.TIA1,0.13692938917451364,0.027258033606822527,False
utr3_all.TRA2B,0.13679316840282213,0.07449466435527681,False
ptc_to_ejc.HNRNPH1,0.13672603136164224,0.18730819107253902,False
ptc_to_ejc.IFIH1,0.13660631884007723,0.15688339976217994,False
newutr_all.KHSRP,0.13264481688547008,0.08270997411512399,False
newutr_all.AGO1,0.12816573599259087,0.08410117724774892,False
newutr_all.RBM4,0.127449179521308,0.08351655280940996,False
utr3_200.SRSF2,0.1262943633404981,0.08178587227337758,False
ejc_pm100.PTBP1,0.12618652474490347,0.14997567715861618,False
newutr_200.SRSF3,0.12538660457110226,0.16287954903638738,False
newutr_all.PABPC5,0.12351751464041852,0.1363132601076733,False
newutr_all.HNRNPDL,0.12222862653541353,0.17831153477909623,False
utr3_200.PCBP1,0.12101342819838483,0.06282351721440951,False
ptc_to_ejc.HNRNPH2,0.11988640559591353,0.13028801877909674,False
newutr_all.LIN28A,0.11702745782125887,0.1255953982640179,False
utr3_all.CSTF2,0.11615891945322634,0.11087654078612393,False
newutr_all.PABPC3,0.11611629737762055,0.08378599594600458,False
ejc_pm100.SRSF3,0.11440425419009606,0.10734864056707873,False
phastcons_old3utr_first200_median,0.11331657174393195,0.05093192775631932,False
ptc_pm100.NOVA2,0.11293291745348735,0.07787595842170236,False
ptc_pm100.LIN28A,0.1119879685679642,0.08225537613265586,False
newutr_200.CELF1,0.11023015994844827,0.05600026816402786,False
newutr_200.HNRNPA2B1,0.1045788865863581,0.16143947994118443,False
ejc_pm100.SRSF6,0.10345146310967168,0.08792696698094182,False
threeUTR.PTBP1,0.09796757694083716,0.07867856213187274,True
newutr_all.RBFOX1,0.0976368205722691,0.08356063032032734,False
newutr_all.ESRP2,0.09741235109495176,0.08246158931380108,False
utr3_200.HNRNPF,0.0963620169012831,0.06747109394624212,False
ptc_pm100.HNRNPH2,0.09593884578563751,0.08968162012625856,False
newutr_200.MBNL1,0.09559494377585098,0.07816561094448762,False
ptc_pm100.SFPQ,0.092035221115873,0.11235472067973887,False
newutr_all.HNRNPL,0.09113060713114321,0.05071285998579497,False
newutr_200.RC3H1,0.09023759173160405,0.0723493267342939,False
ptc_to_ejc.PTBP1,0.08956889473666167,0.08559034102391833,False
newutr_200.SRSF6,0.08943509484189101,0.08777527364984729,False
utr3_200.SRSF9,0.08865480838780132,0.029937455798564758,False
utr3_200.CELF1,0.08699099937150541,0.11666955374926362,False
newutr_200.PTBP1,0.08660465957655117,0.05021560177570671,False
utr3_all.RBM4,0.08583241686770063,0.0646993958802283,False
ejc_pm100.NOVA2,0.08582569083197694,0.03928364818501407,False
newutr_all.NOVA1,0.08534514595295427,0.11963174875284432,False
utr3_all.KHSRP,0.0844866250735534,0.07439933024508545,False
newutr_all.NOVA2,0.08432348308885922,0.07404070296106552,False
newutr_200.HNRNPM,0.08318406095493978,0.02969608172554334,False
ptc_to_ejc.SRSF6,0.08290896052363063,0.06638052326897953,False
utr3_200.CSTF2,0.08274184939919334,0.11241396804351947,False
utr3_all.AGO2,0.08228019544414475,0.06964864088963799,False
utr3_all.LIN28A,0.08099950567782806,0.08063305373475249,False
utr3_200.PTBP1,0.08088387356812485,0.07232495141974912,False
utr3_all.KHDRBS1,0.08085260155188048,0.0740600137503764,False
utr3_all.RBM24,0.07992774034830434,0.10334361661700456,False
newutr_200.SRSF7,0.07937982223237539,0.06643854782116707,False
ptc_pm100.MBNL1,0.07865859193530826,0.05748966578910049,False
newutr_200.TRA2B,0.07717803292142915,0.04952825915164433,False
utr3_200.PABPC5,0.0767572067227016,0.08101382027863688,False
utr3_200.RBM4,0.07613896677344853,0.055840731991061876,False
ptc_pm100.PTBP1,0.07430689755027384,0.0708389445921397,False
ejc_pm100.SRSF7,0.07404202445293848,0.13229543549699793,False
newutr_all.KHDRBS1,0.07286709949193011,0.043365139843436776,False
ejc_pm100.HNRNPH2,0.07244452468557487,0.05036641069178346,False
newutr_200.HNRNPH1,0.07237263356595747,0.05982177378566054,False
newutr_all.CNOT4,0.07190543694875715,0.051987332477390076,False
utr3_all.HNRNPA3,0.07100914651649322,0.043970738459837164,False
ptc_pm100.FMR1,0.07039631554295958,0.03993829431179069,False
utr3_all.FMR1,0.07020249896309905,0.06906010532215415,False
utr3_all.ELAVL1,0.06957427545569579,0.08304759852806874,False
utr3_200.RBM5,0.06955722154316824,0.10886749201980588,False
newutr_all.RBM24,0.06909303479865894,0.06278682594123972,False
utr3_200.SRSF3,0.0690096173799339,0.05814529113563439,False
ptc_pm100.SNRPA,0.06877051114225918,0.08228929933511675,False
utr3_all.U2AF2,0.06842171232589665,0.10755511653937454,False
utr3_all.RBMX,0.06824281448130345,0.08029077433062601,False
ptc_pm100.SRSF5,0.06824005992729967,0.025440291848863494,False
fiveUTR.introns,0.06647948399847506,0.04747788275407455,True
ejc_pm100.TRA2B,0.06635400220723772,0.03594094158714373,False
ptc_pm100.ERI1,0.06603556934645469,0.08256605292911555,False
utr3_all.TRA2A,0.06596482911906144,0.06050829362738281,False
ptc_pm100.SRSF10,0.06537767257144775,0.05686294752864054,False
utr3_200.HNRNPH3,0.06476509999543306,0.058852505717975026,False
ptc_pm100.HNRNPA2B1,0.06343320328860513,0.03497886337944327,False
newutr_all.HNRNPAB,0.062286852897481725,0.052174870788007616,False
utr3_200.SF1,0.06213507375809983,0.05935516204336885,False
newutr_all.RBMY1A1,0.061977396605690474,0.07785120267730261,False
utr3_all.TARDBP,0.061362744138509374,0.09793551402157556,False
ptc_pm100.SRSF7,0.06086712674425228,0.08079321261381038,False
loeuf_cat,0.06061544391014323,0.035605877505240344,True
ejc_pm100.HNRNPA1,0.060584861882166094,0.049674064817824375,False
newutr_all.RC3H1,0.05993547147998759,0.058873693954078016,False
utr3_200.SRSF6,0.059400709198588406,0.07306657211588229,False
ptc_to_ejc.ZFP36,0.05935233226344533,0.05368186271147555,False
ejc_pm100.HNRNPK,0.05890488306297144,0.07535740936100266,False
ptc_pm100.SF1,0.058599273360880236,0.06513779558734772,False
utr3_all.ELAVL2,0.058485101305318365,0.06105619103515255,False
utr3_all.CELF6,0.05789370350660028,0.05084855110674824,False
utr3_200.HNRNPK,0.05784935580792715,0.047982233753973536,False
utr3_all.MATR3,0.0570203871112678,0.04430463990529954,False
ptc_pm100.PCBP1,0.056499441267920746,0.0520401248894479,False
has_plus2_aug,0.05517057192455688,0.08009304740714808,True
newutr_all.IFIH1,0.05492564233860331,0.08541323187251097,False
newutr_all.G3BP2,0.054660794064921484,0.05093928016890929,False
newutr_200.YBX1,0.054257461819900835,0.03739268561021396,False
ptc_to_ejc.SRSF1,0.05371886842807089,0.06608376782342054,False
utr3_200.SFPQ,0.0535481277448485,0.035018840025502505,False
utr3_all.SRSF5,0.05350311644169483,0.057891479755425336,False
newutr_200.HNRNPF,0.053297828542170314,0.05179055456066572,False
newutr_all.ELAVL1,0.0530239692772279,0.028088223065553836,False
newutr_all.YBX2,0.05275459978419679,0.04070473834527306,False
newutr_all.IGF2BP1,0.0525956210381787,0.04359099872696264,False
newutr_all.MATR3,0.052568232469780415,0.04644300124001438,False
ejc_pm100.HNRNPH1,0.05234439373180427,0.06585772811961146,False
utr3_all.RBM6,0.05223678677125544,0.06431594387110356,False
utr3_200.AGO2,0.05204561441109623,0.06391919309850605,False
newutr_all.SART3,0.05198302458010445,0.043239523389905485,False
utr3_all.NONO,0.051230173920547774,0.04937376816348219,False
utr3_all.NOVA1,0.050586825235948416,0.04071654107635684,False
utr3_all.MBNL1,0.050494186573787195,0.048688421239007046,False
ejc_pm100.SFPQ,0.050285450827859866,0.0275604825402497,False
newutr_all.U2AF2,0.05022968937291986,0.051647510739169525,False
newutr_200.HNRNPH2,0.050050349467921626,0.04790495983306758,False
newutr_200.PCBP1,0.04999986793563363,0.06037648928258295,False
utr3_all.RC3H1,0.0498917269220568,0.0612056641142676,False
utr3_200.HNRNPA1,0.049860057028631444,0.008821762176346974,False
utr3_200.YBX1,0.04984847857883114,0.04738101605523005,False
newutr_200.TIA1,0.04971181446344268,0.08219107379202713,False
utr3_all.SNRNP70,0.049306210256866684,0.04262079178987735,False
newutr_200.HNRNPA1,0.04896268695348195,0.02949489291216048,False
ptc_to_ejc.SF1,0.04879265970373281,0.043057979976596994,False
newutr_200.SAMD4A,0.04876741017146113,0.028618711019322396,False
ptc_pm100.PUM1,0.04874560466628281,0.047153842794464225,False
utr3_200.HNRNPLL,0.048107146455091156,0.04098909809897016,False
newutr_all.PUM1,0.04797661402362074,0.031508992711456456,False
utr3_all.SNRPA,0.04770038203235743,0.07604751198023714,False
ejc_pm100.ENOX1,0.04750462886124256,0.03682669891113023,False
newutr_all.CELF6,0.047490374746955145,0.06074026690644388,False
ptc_pm100.ZRANB2,0.047411247604771015,0.07701262448293406,False
utr3_all.SRSF3,0.04722754590776054,0.041055871965147546,False
ejc_pm100.SRSF5,0.04697177667681953,0.0452732953563391,False
ptc_to_ejc.NOVA2,0.04696354087256126,0.05299740654818186,False
utr3_all.HNRNPA2B1,0.04674852581436608,0.038282751584770305,False
newutr_200.HNRNPK,0.04647566162271639,0.038379846127610424,False
newutr_all.QKI,0.04598592175031697,0.04797572054470343,False
ejc_pm100.SART3,0.04590730134588093,0.042401709189868485,False
utr3_200.HNRNPAB,0.04586037959675503,0.057144366755800834,False
pLI.cat,0.04553381517921258,0.02668028195832721,True
newutr_all.SNRPB2,0.045278305240455105,0.023342805372205268,False
ptc_pm100.CELF1,0.045266534295143455,0.0058929789940925376,False
ejc_pm100.G3BP1,0.04514302567155044,0.05178164793293111,False
ptc_to_ejc.HNRNPA1,0.04513074822102342,0.026779609558116986,False
newutr_200.SRSF5,0.04497404775386622,0.045764711976405734,False
threeutrseqs.uORF,0.04491144961266964,0.03099800243839456,True
utr3_all.PABPN1,0.04480139033842672,0.04599963806091929,False
newutr_all.MSI1,0.04443961842106468,0.04620342636181309,False
newutr_all.RBM42,0.04438070069010223,0.043097389029086886,False
threeUTR.introns,0.04437023754797549,0.05242441497999949,True
newutr_200.FMR1,0.04433953107017437,0.03545728884405796,False
ptc_to_ejc.ENOX1,0.04430683329575437,0.05001473042211299,False
newutr_200.SRSF2,0.04372893375477034,0.04263940132690307,False
newutr_200.RBM4,0.043575773319466694,0.05477034542940514,False
ptc_pm100.YBX1,0.043534933753029414,0.06817969058453965,False
newutr_all.RBM6,0.04312726646265638,0.04453390809115169,False
utr3_200.ZFP36,0.04285747558333055,0.039942506345241095,False
utr3_all.HNRNPL,0.04263014006843928,0.026726383562550148,False
utr3_200.PUM1,0.04232821121395362,0.04041634557851209,False
minus1_is_G,0.04224388367413334,0.055948310535275485,True
utr3_all.HNRNPLL,0.04214288489326577,0.05229271698111713,False
newutr_all.ZRANB2,0.04100098243841806,0.04026057615419884,False
utr3_all.HNRNPF,0.04099065242724524,0.05061874698163777,False
ejc_pm100.YBX1,0.04062684290651816,0.04139810922431165,False
utr3_all.SRSF10,0.04043295040076826,0.08086590080153652,False
ptc_pm100.SAMD4A,0.040428302534093276,0.03836351759035705,False
ejc_pm100.SNRPA,0.04040289723342022,0.054931909990836275,False
newutr_all.PABPN1,0.040334553543365556,0.03356668083373962,False
ejc_pm100.HNRNPF,0.040093138563867835,0.050227789728628354,False
newutr_all.DAZAP1,0.03923127168159416,0.03152527747695965,False
utr3_all.SF1,0.03914581638587828,0.07829163277175656,False
ptc_to_ejc.CSTF2,0.03904306257057638,0.03765877647659891,False
newutr_200.LIN28A,0.038982952815364666,0.036571191620346055,False
utr3_all.ENOX1,0.038592142405680825,0.047737362726742755,False
newutr_200.SRSF10,0.0385529470088356,0.03903007551160299,False
ptc_to_ejc.SRSF2,0.03852672323581598,0.04753037308887881,False
ptc_pm100.HNRNPA3,0.038423960607790894,0.04709341169645045,False
utr3_200.SRSF10,0.03809830618169662,0.03835131961426348,False
utr3_200.NOVA1,0.037773681464218764,0.039390327726545826,False
newutr_all.HNRNPA1L2,0.037549711401282174,0.03741034277991559,False
newutr_all.RBM14,0.03729055121365163,0.03178780190553157,False
utr3_200.FMR1,0.03683255349529526,0.040998499023310125,False
ptc_to_ejc.NELFE,0.03668398086975745,0.023309822279447456,False
ptc_to_ejc.SRSF3,0.0364988511201089,0.046989606968418265,False
utr3_all.PCBP2,0.03584917104402997,0.044021397593440134,False
newutr_all.ELAVL4,0.03583416588775952,0.07166833177551904,False
utr3_all.RBM41,0.03580607249366223,0.03496082660002041,False
newutr_200.G3BP2,0.03576574336612308,0.027733040179078457,False
ejc_pm100.RBM5,0.03556085285488684,0.031077875636080804,False
newutr_all.HNRNPA3,0.034818554301823304,0.04927142929390432,False
newutr_200.ZRANB2,0.034543222741153,0.021936183295755852,False
ptc_pm100.HNRNPH3,0.03418440228979504,0.029016582946851926,False
utr3_all.CELF1,0.034002852417156726,0.06800570483431347,False
utr3_all.AGO1,0.033745291241493204,0.03326444458437955,False
ejc_pm100.HNRNPA2B1,0.03367779164801515,0.06735558329603028,False
utr3_all.RBM5,0.033648147276942555,0.036965630347160106,False
utr3_200.PCBP2,0.033558382353965535,0.04156908791174664,False
newutr_all.SF1,0.03314599485076909,0.04427587974208126,False
newutr_all.FXR2,0.03298815334287315,0.032093145985166265,False
ptc_to_ejc.YBX1,0.032792103603617236,0.04514168638351957,False
newutr_all.NONO,0.032611685555214966,0.028378135590202993,False
newutr_all.FXR1,0.03258826814811631,0.06517653629623262,False
ptc_to_ejc.HNRNPF,0.03257726679933078,0.04131659821065125,False
utr3_200.NELFE,0.03247091340954074,0.05187367588243982,False
ptc_pm100.TARDBP,0.03233566593315625,0.028417579909116093,False
newutr_all.ENOX1,0.03175767372474185,0.06351534744948369,False
utr3_all.HNRNPM,0.03144446377761921,0.030928818982524073,False
newutr_all.IGHMBP2,0.031182153570565956,0.03826820737574749,False
newutr_200.HNRNPH3,0.03095530214531913,0.04854903195288809,False
newutr_all.NELFE,0.030783275636538505,0.039943173494858306,False
newutr_all.IGF2BP3,0.03054543642235289,0.04468764675248848,False
utr3_all.HNRNPD,0.030259787052061983,0.060519574104123966,False
ejc_pm100.SRSF1,0.030223234714904835,0.06044646942980967,False
utr3_all.PCBP1,0.03018666767463294,0.027553904605409078,False
utr3_all.SAMD4A,0.02975387823401853,0.03726911859460592,False
newutr_200.HNRNPA3,0.029690886320231848,0.03831777779836655,False
ptc_pm100.HNRNPK,0.02917280930115799,0.03714377057608163,False
newutr_200.SF1,0.029135105820938458,0.02565738443564374,False
newutr_200.TARDBP,0.02899570727329185,0.024143499263339505,False
newutr_200.QKI,0.028961103095860325,0.040588739320233685,False
utr3_200.SRSF1,0.028921661964355194,0.03607441446299174,False
newutr_all.SRSF10,0.028782904749832798,0.04458561459414066,False
ejc_pm100.HNRNPH3,0.028735651296606258,0.03743497451197888,False
newutr_all.SNRNP70,0.028633216943211297,0.02339786982738509,False
ejc_pm100.CELF6,0.028427801531389123,0.04336789022121708,False
newutr_all.PUM2,0.028242314689715615,0.041960995195446896,False
utr3_all.HNRNPH2,0.028167757393855943,0.024627136532352482,False
utr3_all.ELAVL3,0.027999669022560448,0.024231293087788052,False
minus2_is_G,0.02781551861566852,0.0360934296127868,True
newutr_all.CELF4,0.027475780348848615,0.035609984494439424,False
ptc_to_ejc.HNRNPH3,0.026930871652403078,0.03338434510480945,False
utr3_200.SRSF4,0.026716527868134242,0.05343305573626849,False
ptc_to_ejc.HNRNPA2B1,0.0264095316104556,0.03547763284863307,False
ejc_pm100.SF1,0.02636069450811137,0.03522638216459694,False
newutr_all.SRSF6,0.02630785931139884,0.04001113808748722,False
utr3_200.HNRNPDL,0.02602931974226077,0.024542364512460262,False
newutr_all.RBM28,0.025929077269104518,0.03180039097397161,False
has_plus1_aug,0.025873607478545307,0.03362147384638431,True
newutr_all.CSTF2,0.025722033727293585,0.03612055323497429,False
newutr_all.SRSF4,0.02564357549695436,0.021176998400138987,False
ejc_pm100.PCBP1,0.025538114802684614,0.03593313400086543,False
utr3_all.QKI,0.025141281483523792,0.04077288417084359,False
ptc_to_ejc.RBM5,0.02473993830927424,0.033756909291425934,False
utr3_all.CNOT4,0.024584695010844978,0.030315856526404127,False
newutr_all.IGF2BP2,0.024464619607297573,0.0341742045775644,False
ptc_pm100.SRSF9,0.024419448699811618,0.032656552246621603,False
newutr_200.PCBP2,0.02426937758782631,0.036151759388468103,False
newutr_200.PUM1,0.02423654477508729,0.03288990369714133,False
utr3_200.NOVA2,0.02419309144788325,0.0483861828957665,False
newutr_200.ZFP36,0.024121848625772893,0.03007885346620518,False
utr3_all.SRSF9,0.024055366873793043,0.03275685956328298,False
ptc_to_ejc.SAMD4A,0.02392438444031615,0.0478487688806323,False
utr3_all.PTBP1,0.02382377336341613,0.04764754672683226,False
