feature,dtype,is_categorical,non_null_count,non_null_pct,mean,std,min,max
utr3_all.FXR1,object,True,5749,100.0,,,,
utr3_all.FXR2,object,True,5749,100.0,,,,
utr3_all.G3BP1,object,True,5749,100.0,,,,
utr3_all.G3BP2,object,True,5749,100.0,,,,
utr3_all.HNRNPA1,object,True,5749,100.0,,,,
utr3_all.HNRNPA1L2,object,True,5749,100.0,,,,
utr3_all.HNRNPA2B1,object,True,5749,100.0,,,,
utr3_all.HNRNPA3,object,True,5749,100.0,,,,
utr3_all.HNRNPAB,object,True,5749,100.0,,,,
utr3_all.HNRNPC,object,True,5749,100.0,,,,
utr3_all.HNRNPD,object,True,5749,100.0,,,,
utr3_all.HNRNPDL,object,True,5749,100.0,,,,
utr3_all.HNRNPF,object,True,5749,100.0,,,,
utr3_all.HNRNPH1,object,True,5749,100.0,,,,
utr3_all.HNRNPH2,object,True,5749,100.0,,,,
utr3_all.HNRNPH3,object,True,5749,100.0,,,,
utr3_all.HNRNPK,object,True,5749,100.0,,,,
utr3_all.HNRNPL,object,True,5749,100.0,,,,
utr3_all.HNRNPLL,object,True,5749,100.0,,,,
utr3_all.HNRNPM,object,True,5749,100.0,,,,
utr3_all.HNRNPU,object,True,5749,100.0,,,,
utr3_all.IFIH1,object,True,5749,100.0,,,,
utr3_all.IGF2BP1,object,True,5749,100.0,,,,
utr3_all.IGF2BP2,object,True,5749,100.0,,,,
utr3_all.IGF2BP3,object,True,5749,100.0,,,,
utr3_all.IGHMBP2,object,True,5749,100.0,,,,
utr3_all.KHDRBS1,object,True,5749,100.0,,,,
utr3_all.KHDRBS2,object,True,5749,100.0,,,,
utr3_all.KHDRBS3,object,True,5749,100.0,,,,
utr3_all.KHSRP,object,True,5749,100.0,,,,
utr3_all.LIN28A,object,True,5749,100.0,,,,
utr3_all.MATR3,object,True,5749,100.0,,,,
utr3_all.MBNL1,object,True,5749,100.0,,,,
utr3_all.MSI1,object,True,5749,100.0,,,,
utr3_all.NELFE,object,True,5749,100.0,,,,
utr3_all.NONO,object,True,5749,100.0,,,,
utr3_all.NOVA1,object,True,5749,100.0,,,,
utr3_all.NOVA2,object,True,5749,100.0,,,,
utr3_all.PABPC1,object,True,5749,100.0,,,,
utr3_all.PABPC3,object,True,5749,100.0,,,,
utr3_all.PABPC5,object,True,5749,100.0,,,,
utr3_all.PABPN1,object,True,5749,100.0,,,,
utr3_all.PCBP1,object,True,5749,100.0,,,,
utr3_all.PCBP2,object,True,5749,100.0,,,,
utr3_all.PPRC1,object,True,5749,100.0,,,,
utr3_all.PTBP1,object,True,5749,100.0,,,,
utr3_all.PUM1,object,True,5749,100.0,,,,
utr3_all.PUM2,object,True,5749,100.0,,,,
utr3_all.QKI,object,True,5749,100.0,,,,
utr3_all.RALY,object,True,5749,100.0,,,,
utr3_all.RBFOX1,object,True,5749,100.0,,,,
utr3_all.RBM14,object,True,5749,100.0,,,,
utr3_all.RBM24,object,True,5749,100.0,,,,
utr3_all.RBM25,object,True,5749,100.0,,,,
utr3_all.RBM28,object,True,5749,100.0,,,,
utr3_all.RBM4,object,True,5749,100.0,,,,
utr3_all.RBM41,object,True,5749,100.0,,,,
utr3_all.RBM42,object,True,5749,100.0,,,,
utr3_all.RBM46,object,True,5749,100.0,,,,
utr3_all.RBM5,object,True,5749,100.0,,,,
utr3_all.RBM6,object,True,5749,100.0,,,,
utr3_all.RBM8A,object,True,5749,100.0,,,,
utr3_all.RBMS1,object,True,5749,100.0,,,,
utr3_all.RBMS3,object,True,5749,100.0,,,,
utr3_all.RBMX,object,True,5749,100.0,,,,
utr3_all.RBMY1A1,object,True,5749,100.0,,,,
utr3_all.RC3H1,object,True,5749,100.0,,,,
utr3_all.SAMD4A,object,True,5749,100.0,,,,
utr3_all.SART3,object,True,5749,100.0,,,,
utr3_all.SF1,object,True,5749,100.0,,,,
utr3_all.SFPQ,object,True,5749,100.0,,,,
utr3_all.SNRNP70,object,True,5749,100.0,,,,
utr3_all.SNRPA,object,True,5749,100.0,,,,
utr3_all.SNRPB2,object,True,5749,100.0,,,,
utr3_all.SRP14,object,True,5749,100.0,,,,
utr3_all.SRSF1,object,True,5749,100.0,,,,
utr3_all.SRSF10,object,True,5749,100.0,,,,
utr3_all.SRSF2,object,True,5749,100.0,,,,
utr3_all.SRSF3,object,True,5749,100.0,,,,
utr3_all.SRSF4,object,True,5749,100.0,,,,
utr3_all.SRSF5,object,True,5749,100.0,,,,
utr3_all.SRSF6,object,True,5749,100.0,,,,
utr3_all.SRSF7,object,True,5749,100.0,,,,
utr3_all.SRSF9,object,True,5749,100.0,,,,
utr3_all.SSB,object,True,5749,100.0,,,,
utr3_all.TARDBP,object,True,5749,100.0,,,,
utr3_all.TIA1,object,True,5749,100.0,,,,
utr3_all.TIAL1,object,True,5749,100.0,,,,
utr3_all.TRA2A,object,True,5749,100.0,,,,
utr3_all.TRA2B,object,True,5749,100.0,,,,
utr3_all.TUT1,object,True,5749,100.0,,,,
utr3_all.U2AF2,object,True,5749,100.0,,,,
utr3_all.YBX1,object,True,5749,100.0,,,,
utr3_all.YBX2,object,True,5749,100.0,,,,
utr3_all.ZC3H10,object,True,5749,100.0,,,,
utr3_all.ZCRB1,object,True,5749,100.0,,,,
utr3_all.ZFP36,object,True,5749,100.0,,,,
utr3_all.ZFP36L2,object,True,5749,100.0,,,,
utr3_all.ZNF638,object,True,5749,100.0,,,,
utr3_all.ZRANB2,object,True,5749,100.0,,,,
utr3_200.AGO1,object,True,5749,100.0,,,,
utr3_200.AGO2,object,True,5749,100.0,,,,
utr3_200.ANKHD1,object,True,5749,100.0,,,,
utr3_200.CELF1,object,True,5749,100.0,,,,
utr3_200.CELF4,object,True,5749,100.0,,,,
utr3_200.CELF5,object,True,5749,100.0,,,,
utr3_200.CELF6,object,True,5749,100.0,,,,
utr3_200.CNOT4,object,True,5749,100.0,,,,
utr3_200.CPEB2,object,True,5749,100.0,,,,
utr3_200.CPEB4,object,True,5749,100.0,,,,
utr3_200.CSTF2,object,True,5749,100.0,,,,
utr3_200.DAZAP1,object,True,5749,100.0,,,,
utr3_200.EIF4B,object,True,5749,100.0,,,,
utr3_200.ELAVL1,object,True,5749,100.0,,,,
utr3_200.ELAVL2,object,True,5749,100.0,,,,
utr3_200.ELAVL3,object,True,5749,100.0,,,,
utr3_200.ELAVL4,object,True,5749,100.0,,,,
utr3_200.ENOX1,object,True,5749,100.0,,,,
utr3_200.ERI1,object,True,5749,100.0,,,,
utr3_200.ESRP2,object,True,5749,100.0,,,,
utr3_200.FMR1,object,True,5749,100.0,,,,
utr3_200.FUS,object,True,5749,100.0,,,,
utr3_200.FXR1,object,True,5749,100.0,,,,
utr3_200.FXR2,object,True,5749,100.0,,,,
utr3_200.G3BP1,object,True,5749,100.0,,,,
utr3_200.G3BP2,object,True,5749,100.0,,,,
utr3_200.HNRNPA1,object,True,5749,100.0,,,,
utr3_200.HNRNPA1L2,object,True,5749,100.0,,,,
utr3_200.HNRNPA2B1,object,True,5749,100.0,,,,
utr3_200.HNRNPA3,object,True,5749,100.0,,,,
utr3_200.HNRNPAB,object,True,5749,100.0,,,,
utr3_200.HNRNPC,object,True,5749,100.0,,,,
utr3_200.HNRNPD,object,True,5749,100.0,,,,
utr3_200.HNRNPDL,object,True,5749,100.0,,,,
utr3_200.HNRNPF,object,True,5749,100.0,,,,
utr3_200.HNRNPH1,object,True,5749,100.0,,,,
utr3_200.HNRNPH2,object,True,5749,100.0,,,,
utr3_200.HNRNPH3,object,True,5749,100.0,,,,
utr3_200.HNRNPK,object,True,5749,100.0,,,,
utr3_200.HNRNPLL,object,True,5749,100.0,,,,
utr3_200.HNRNPM,object,True,5749,100.0,,,,
utr3_200.HNRNPU,object,True,5749,100.0,,,,
utr3_200.IFIH1,object,True,5749,100.0,,,,
utr3_200.IGF2BP1,object,True,5749,100.0,,,,
utr3_200.IGF2BP2,object,True,5749,100.0,,,,
utr3_200.IGF2BP3,object,True,5749,100.0,,,,
utr3_200.IGHMBP2,object,True,5749,100.0,,,,
utr3_200.KHDRBS1,object,True,5749,100.0,,,,
utr3_200.KHDRBS2,object,True,5749,100.0,,,,
utr3_200.LIN28A,object,True,5749,100.0,,,,
utr3_200.MATR3,object,True,5749,100.0,,,,
utr3_200.MBNL1,object,True,5749,100.0,,,,
utr3_200.NELFE,object,True,5749,100.0,,,,
utr3_200.NONO,object,True,5749,100.0,,,,
utr3_200.NOVA1,object,True,5749,100.0,,,,
utr3_200.NOVA2,object,True,5749,100.0,,,,
utr3_200.PABPC1,object,True,5749,100.0,,,,
utr3_200.PABPC3,object,True,5749,100.0,,,,
utr3_200.PABPC5,object,True,5749,100.0,,,,
utr3_200.PABPN1,object,True,5749,100.0,,,,
utr3_200.PCBP1,object,True,5749,100.0,,,,
utr3_200.PCBP2,object,True,5749,100.0,,,,
utr3_200.PTBP1,object,True,5749,100.0,,,,
utr3_200.PUM1,object,True,5749,100.0,,,,
utr3_200.PUM2,object,True,5749,100.0,,,,
utr3_200.QKI,object,True,5749,100.0,,,,
utr3_200.RALY,object,True,5749,100.0,,,,
utr3_200.RBFOX1,object,True,5749,100.0,,,,
utr3_200.RBM24,object,True,5749,100.0,,,,
utr3_200.RBM25,object,True,5749,100.0,,,,
utr3_200.RBM28,object,True,5749,100.0,,,,
utr3_200.RBM3,object,True,5749,100.0,,,,
utr3_200.RBM4,object,True,5749,100.0,,,,
utr3_200.RBM41,object,True,5749,100.0,,,,
utr3_200.RBM42,object,True,5749,100.0,,,,
utr3_200.RBM46,object,True,5749,100.0,,,,
utr3_200.RBM5,object,True,5749,100.0,,,,
utr3_200.RBM6,object,True,5749,100.0,,,,
utr3_200.RBM8A,object,True,5749,100.0,,,,
utr3_200.RBMS3,object,True,5749,100.0,,,,
utr3_200.RBMX,object,True,5749,100.0,,,,
utr3_200.RBMY1A1,object,True,5749,100.0,,,,
utr3_200.RC3H1,object,True,5749,100.0,,,,
utr3_200.SAMD4A,object,True,5749,100.0,,,,
utr3_200.SART3,object,True,5749,100.0,,,,
utr3_200.SF1,object,True,5749,100.0,,,,
utr3_200.SFPQ,object,True,5749,100.0,,,,
utr3_200.SNRNP70,object,True,5749,100.0,,,,
utr3_200.SNRPA,object,True,5749,100.0,,,,
utr3_200.SNRPB2,object,True,5749,100.0,,,,
utr3_200.SRP14,object,True,5749,100.0,,,,
utr3_200.SRSF1,object,True,5749,100.0,,,,
utr3_200.SRSF10,object,True,5749,100.0,,,,
utr3_200.SRSF2,object,True,5749,100.0,,,,
utr3_200.SRSF3,object,True,5749,100.0,,,,
utr3_200.SRSF4,object,True,5749,100.0,,,,
utr3_200.SRSF5,object,True,5749,100.0,,,,
utr3_200.SRSF6,object,True,5749,100.0,,,,
utr3_200.SRSF7,object,True,5749,100.0,,,,
utr3_200.SRSF9,object,True,5749,100.0,,,,
utr3_200.SSB,object,True,5749,100.0,,,,
utr3_200.TARDBP,object,True,5749,100.0,,,,
utr3_200.TIA1,object,True,5749,100.0,,,,
utr3_200.TIAL1,object,True,5749,100.0,,,,
utr3_200.TRA2A,object,True,5749,100.0,,,,
utr3_200.TRA2B,object,True,5749,100.0,,,,
utr3_200.U2AF2,object,True,5749,100.0,,,,
utr3_200.YBX1,object,True,5749,100.0,,,,
utr3_200.YBX2,object,True,5749,100.0,,,,
utr3_200.ZC3H10,object,True,5749,100.0,,,,
utr3_200.ZCRB1,object,True,5749,100.0,,,,
utr3_200.ZFP36,object,True,5749,100.0,,,,
utr3_200.ZFP36L2,object,True,5749,100.0,,,,
utr3_200.ZRANB2,object,True,5749,100.0,,,,
ptc_to_ejc.A1CF,object,True,5749,100.0,,,,
ptc_to_ejc.CELF1,object,True,5749,100.0,,,,
ptc_to_ejc.CELF4,object,True,5749,100.0,,,,
ptc_to_ejc.CELF5,object,True,5749,100.0,,,,
ptc_to_ejc.CELF6,object,True,5749,100.0,,,,
ptc_to_ejc.CNOT4,object,True,5749,100.0,,,,
ptc_to_ejc.CPEB2,object,True,5749,100.0,,,,
ptc_to_ejc.CPEB4,object,True,5749,100.0,,,,
ptc_to_ejc.CSTF2,object,True,5749,100.0,,,,
ptc_to_ejc.DAZAP1,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL1,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL2,object,True,5749,100.0,,,,
ptc_to_ejc.ELAVL4,object,True,5749,100.0,,,,
ptc_to_ejc.ENOX1,object,True,5749,100.0,,,,
ptc_to_ejc.ESRP2,object,True,5749,100.0,,,,
ptc_to_ejc.FMR1,object,True,5749,100.0,,,,
ptc_to_ejc.FUS,object,True,5749,100.0,,,,
ptc_to_ejc.FXR1,object,True,5749,100.0,,,,
ptc_to_ejc.FXR2,object,True,5749,100.0,,,,
ptc_to_ejc.G3BP1,object,True,5749,100.0,,,,
ptc_to_ejc.G3BP2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA1L2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA2B1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPA3,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPAB,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPDL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPF,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH1,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH2,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPH3,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPK,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPLL,object,True,5749,100.0,,,,
ptc_to_ejc.HNRNPM,object,True,5749,100.0,,,,
ptc_to_ejc.IFIH1,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP1,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP2,object,True,5749,100.0,,,,
ptc_to_ejc.IGF2BP3,object,True,5749,100.0,,,,
ptc_to_ejc.IGHMBP2,object,True,5749,100.0,,,,
ptc_to_ejc.KHDRBS1,object,True,5749,100.0,,,,
ptc_to_ejc.KHSRP,object,True,5749,100.0,,,,
ptc_to_ejc.LIN28A,object,True,5749,100.0,,,,
ptc_to_ejc.MATR3,object,True,5749,100.0,,,,
ptc_to_ejc.MBNL1,object,True,5749,100.0,,,,
ptc_to_ejc.NELFE,object,True,5749,100.0,,,,
ptc_to_ejc.NOVA1,object,True,5749,100.0,,,,
ptc_to_ejc.NOVA2,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC1,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC3,object,True,5749,100.0,,,,
ptc_to_ejc.PABPC5,object,True,5749,100.0,,,,
ptc_to_ejc.PABPN1,object,True,5749,100.0,,,,
ptc_to_ejc.PCBP1,object,True,5749,100.0,,,,
ptc_to_ejc.PCBP2,object,True,5749,100.0,,,,
ptc_to_ejc.PPRC1,object,True,5749,100.0,,,,
ptc_to_ejc.PTBP1,object,True,5749,100.0,,,,
ptc_to_ejc.PUM1,object,True,5749,100.0,,,,
ptc_to_ejc.QKI,object,True,5749,100.0,,,,
ptc_to_ejc.RALY,object,True,5749,100.0,,,,
ptc_to_ejc.RBFOX1,object,True,5749,100.0,,,,
ptc_to_ejc.RBM14,object,True,5749,100.0,,,,
ptc_to_ejc.RBM24,object,True,5749,100.0,,,,
ptc_to_ejc.RBM25,object,True,5749,100.0,,,,
ptc_to_ejc.RBM28,object,True,5749,100.0,,,,
ptc_to_ejc.RBM4,object,True,5749,100.0,,,,
ptc_to_ejc.RBM42,object,True,5749,100.0,,,,
ptc_to_ejc.RBM5,object,True,5749,100.0,,,,
ptc_to_ejc.RBM6,object,True,5749,100.0,,,,
ptc_to_ejc.RBM8A,object,True,5749,100.0,,,,
ptc_to_ejc.RBMS3,object,True,5749,100.0,,,,
ptc_to_ejc.RBMX,object,True,5749,100.0,,,,
ptc_to_ejc.RBMY1A1,object,True,5749,100.0,,,,
ptc_to_ejc.RC3H1,object,True,5749,100.0,,,,
ptc_to_ejc.SAMD4A,object,True,5749,100.0,,,,
ptc_to_ejc.SART3,object,True,5749,100.0,,,,
ptc_to_ejc.SF1,object,True,5749,100.0,,,,
ptc_to_ejc.SFPQ,object,True,5749,100.0,,,,
ptc_to_ejc.SNRPA,object,True,5749,100.0,,,,
ptc_to_ejc.SNRPB2,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF1,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF10,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF2,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF3,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF4,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF5,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF6,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF7,object,True,5749,100.0,,,,
ptc_to_ejc.SRSF9,object,True,5749,100.0,,,,
ptc_to_ejc.TARDBP,object,True,5749,100.0,,,,
ptc_to_ejc.TIA1,object,True,5749,100.0,,,,
ptc_to_ejc.TIAL1,object,True,5749,100.0,,,,
ptc_to_ejc.TRA2A,object,True,5749,100.0,,,,
ptc_to_ejc.TRA2B,object,True,5749,100.0,,,,
ptc_to_ejc.TUT1,object,True,5749,100.0,,,,
ptc_to_ejc.U2AF2,object,True,5749,100.0,,,,
ptc_to_ejc.YBX1,object,True,5749,100.0,,,,
ptc_to_ejc.YBX2,object,True,5749,100.0,,,,
ptc_to_ejc.ZC3H10,object,True,5749,100.0,,,,
ptc_to_ejc.ZCRB1,object,True,5749,100.0,,,,
ptc_to_ejc.ZFP36,object,True,5749,100.0,,,,
ptc_to_ejc.ZRANB2,object,True,5749,100.0,,,,
newutr_all.A1CF,object,True,5749,100.0,,,,
newutr_all.AGO1,object,True,5749,100.0,,,,
newutr_all.AGO2,object,True,5749,100.0,,,,
newutr_all.AKAP1,object,True,5749,100.0,,,,
newutr_all.ANKHD1,object,True,5749,100.0,,,,
newutr_all.CELF1,object,True,5749,100.0,,,,
newutr_all.CELF4,object,True,5749,100.0,,,,
newutr_all.CELF5,object,True,5749,100.0,,,,
newutr_all.CELF6,object,True,5749,100.0,,,,
newutr_all.CNOT4,object,True,5749,100.0,,,,
newutr_all.CPEB2,object,True,5749,100.0,,,,
newutr_all.CPEB4,object,True,5749,100.0,,,,
newutr_all.CSTF2,object,True,5749,100.0,,,,
newutr_all.DAZAP1,object,True,5749,100.0,,,,
newutr_all.EIF4B,object,True,5749,100.0,,,,
newutr_all.ELAVL1,object,True,5749,100.0,,,,
newutr_all.ELAVL2,object,True,5749,100.0,,,,
newutr_all.ELAVL3,object,True,5749,100.0,,,,
newutr_all.ELAVL4,object,True,5749,100.0,,,,
newutr_all.ENOX1,object,True,5749,100.0,,,,
newutr_all.ERI1,object,True,5749,100.0,,,,
newutr_all.ESRP2,object,True,5749,100.0,,,,
newutr_all.FMR1,object,True,5749,100.0,,,,
newutr_all.FUS,object,True,5749,100.0,,,,
newutr_all.FXR1,object,True,5749,100.0,,,,
newutr_all.FXR2,object,True,5749,100.0,,,,
newutr_all.G3BP1,object,True,5749,100.0,,,,
newutr_all.G3BP2,object,True,5749,100.0,,,,
newutr_all.HNRNPA1,object,True,5749,100.0,,,,
newutr_all.HNRNPA1L2,object,True,5749,100.0,,,,
newutr_all.HNRNPA2B1,object,True,5749,100.0,,,,
newutr_all.HNRNPA3,object,True,5749,100.0,,,,
newutr_all.HNRNPAB,object,True,5749,100.0,,,,
newutr_all.HNRNPC,object,True,5749,100.0,,,,
newutr_all.HNRNPD,object,True,5749,100.0,,,,
newutr_all.HNRNPDL,object,True,5749,100.0,,,,
newutr_all.HNRNPF,object,True,5749,100.0,,,,
newutr_all.HNRNPH1,object,True,5749,100.0,,,,
newutr_all.HNRNPH2,object,True,5749,100.0,,,,
newutr_all.HNRNPH3,object,True,5749,100.0,,,,
newutr_all.HNRNPK,object,True,5749,100.0,,,,
newutr_all.HNRNPL,object,True,5749,100.0,,,,
newutr_all.HNRNPLL,object,True,5749,100.0,,,,
newutr_all.HNRNPM,object,True,5749,100.0,,,,
newutr_all.HNRNPU,object,True,5749,100.0,,,,
newutr_all.IFIH1,object,True,5749,100.0,,,,
newutr_all.IGF2BP1,object,True,5749,100.0,,,,
newutr_all.IGF2BP2,object,True,5749,100.0,,,,
newutr_all.IGF2BP3,object,True,5749,100.0,,,,
newutr_all.IGHMBP2,object,True,5749,100.0,,,,
newutr_all.KHDRBS1,object,True,5749,100.0,,,,
newutr_all.KHDRBS2,object,True,5749,100.0,,,,
newutr_all.KHDRBS3,object,True,5749,100.0,,,,
newutr_all.KHSRP,object,True,5749,100.0,,,,
newutr_all.LIN28A,object,True,5749,100.0,,,,
newutr_all.MATR3,object,True,5749,100.0,,,,
newutr_all.MBNL1,object,True,5749,100.0,,,,
newutr_all.MSI1,object,True,5749,100.0,,,,
newutr_all.NELFE,object,True,5749,100.0,,,,
newutr_all.NONO,object,True,5749,100.0,,,,
newutr_all.NOVA1,object,True,5749,100.0,,,,
newutr_all.NOVA2,object,True,5749,100.0,,,,
newutr_all.PABPC1,object,True,5749,100.0,,,,
newutr_all.PABPC3,object,True,5749,100.0,,,,
newutr_all.PABPC5,object,True,5749,100.0,,,,
newutr_all.PABPN1,object,True,5749,100.0,,,,
