metric	value
n_variants	6019
A_score_key	nmd_score
B_score_key	nmd_score
A_tx_match	0
A_fallback	6013
A_miss	6
A_frac_tx_match	0.0
A_frac_any_score	0.9990031566705433
A_median	0.55
A_mean	0.442349908531515
B_tx_match	0
B_fallback	6013
B_miss	6
B_frac_tx_match	0.0
B_frac_any_score	0.9990031566705433
B_median	0.65
B_mean	0.41222351571594884
