feature,mean_abs_shap
last.EJC,0.5056502383633141
relativePTClocation,0.1908558216560681
half_life_PC1,0.15953244043795092
cdsseqs_AU_content,0.12527027720243672
mut.exon,0.07367988717954425
phylop_ptc_to_ejc_median,0.0637746735491931
AmountExonsAfter,0.06283977849111078
phastcons_new3utr_first200_median,0.05597780871437736
cdsseqs_UC_content,0.049318810175991816
MedianExpression_log2,0.047104909631671465
cdsseq_AUcontentlast200,0.043065540392643605
first.200,0.041627469253775334
CADD_phred,0.038871152399951946
threeUTR_UC_content,0.03232574869247837
log2_CDS,0.032084599100502126
phylop_new3utr_first200_median,0.03135225416675684
first.100,0.02751688576560756
isoform_count,0.02677299191822896
gnomAD_exome_ALL,0.025441671949393712
readthrough_score_hek293t,0.020309454798175613
fiveUTR_AU_content,0.019761691688152526
ejc_count_in_window,0.01810467813579671
length.mutated.exon,0.018070734332422157
phastcons_ejc_100bp_median,0.0169625835459499
utr3_all.SRSF7,0.016408641491758122
ptc_to_ejc.SFPQ,0.016217206495248406
threeUTR_AU_content,0.01609823472391321
PTC.plus1.aa,0.01588142313636119
fiveUTR_AUcontentlast100,0.015879285899092075
newutr_all.G3BP1,0.015526600953024541
fiveUTR_AUcontentfirst100,0.014826256065893292
phastcons_ptc_to_ejc_median,0.014437732629721301
phylop_ejc_100bp_median,0.014253987930578171
CodonOptimalityFraction_CDS,0.013975779897265898
phastcons_utr5_first200_median,0.013329852240824605
aug_distance_category,0.013305696098667434
phylop_old3utr_whole_median,0.013008178406993144
noncoding.length,0.012507998144872419
newutr_200.IFIH1,0.012433258643184411
CodonOptimalityFraction_PTCpm100nt,0.012141299911552756
cdsseq_UCcontentlast200,0.012085526294150451
ThreeUTR_AUcontentlast100,0.011725623132167094
relPTC_exon,0.011077830730830468
EJC.downstream.cut,0.010016301209491886
phylop_utr5_first200_median,0.009997011246656516
phastcons_tx_whole_median,0.009825954343290755
aug_frame_status,0.009637282304721252
ptc_pm100.SRSF6,0.009518627462552172
phylop_new3utr_whole_median,0.009465248849120969
fiveUTR_UCcontentfirst100,0.009346926979736004
cdsseq_UCcontentfirst200,0.009328125997794184
ThreeUTR_UCcontentfirst100,0.009080166489113266
newutr_all.ZC3H10,0.009054551871848612
log2_5utr,0.009041207082291657
PTC_dist_exon_start_1b,0.009005597292059304
utr3_all.NELFE,0.009004429996953056
fiveUTR_UC_content,0.008799647811796893
ptc_pm100.TIA1,0.00851778535967763
phastcons_ptc_100bp_median,0.008496230120363327
cdsseq_UCcontentfirst100,0.008430201145957616
phastcons_new3utr_whole_median,0.00837743744341057
ptc_pm100.HNRNPH2,0.008301657709862935
fiveUTR_UCcontentlast100,0.008296098409578236
cdsseq_UCcontentlast100,0.007351526742950068
ThreeUTR_UCcontentlast100,0.007184673717306983
ptc_pm100.SRSF3,0.007169243762440883
log2newUTR,0.007056976546769107
PTC.plus2.aa,0.007047873855917393
phylop_ptc_100bp_median,0.007002670378300774
cdsseq_AUcontentfirst200,0.006900620693919616
cdsseq_AUcontentlast100,0.006839094461552983
log2_3utr,0.006771816150305079
phastcons_old3utr_whole_median,0.006760888304001068
newutr_all.SRP14,0.006588319177378841
phylop_old3utr_first200_median,0.006459591182667096
ThreeUTR_AUcontentfirst100,0.006411787484706757
ptc_pm100.NELFE,0.006348477801321213
ptc_to_ejc.HNRNPH1,0.005953343505251334
cdsseq_AUcontentfirst100,0.005649668539917592
ejc_pm100.FMR1,0.005537376026609649
utr3_200.RBMX,0.005520214814540206
PTC.minus1.aa,0.005442452990631595
ejc_pm100.PTBP1,0.005342916313893338
ptc_pm100.TRA2B,0.005318420475964551
newutr_all.ELAVL2,0.00525071638641653
phylop_tx_whole_median,0.005115187952968494
utr3_200.CSTF2,0.005017253039226681
ptc_to_ejc.SRSF1,0.00500857618123678
newutr_200.HNRNPA2B1,0.004872417250580024
ptc_to_ejc.SRSF3,0.004836601646160212
newutr_200.SRSF3,0.004719098728182315
newutr_all.AGO1,0.004649655997029222
newutr_all.PABPC5,0.004617564913442579
utr3_200.SFPQ,0.00460062619414635
ptc_pm100.ZC3H10,0.0045577413805458706
long.exon,0.004531703588250515
utr3_200.HNRNPF,0.004311537022131531
ptc_to_ejc.PTBP1,0.004289292793259832
fiveutrseqs.uORF,0.004129894529135802
newutr_200.CELF1,0.004089687329477152
phastcons_utr5_whole_median,0.004058835903062576
kozak_strength,0.004048006511432742
ejc_pm100.SRSF3,0.003936099038295274
has_plus1_aug,0.0038807077521264026
ejc_pm100.CELF1,0.0037243574895619125
newutr_all.RBMY1A1,0.003626063494006466
ptc_pm100.TARDBP,0.0036133021163421097
newutr_200.SF1,0.003612846373821326
utr3_200.SRSF7,0.003472589515554833
ptc_to_ejc.HNRNPH2,0.0034577942345054035
newutr_all.SNRPB2,0.0033434281609801934
newutr_all.RBM4,0.0033001688015516202
newutr_all.RBMX,0.003279922076447599
newutr_200.PTBP1,0.0032623216584013463
newutr_200.SFPQ,0.0032204991064897185
newutr_all.SAMD4A,0.0032084651648882365
newutr_all.MSI1,0.0031813418667336643
ptc_pm100.HNRNPF,0.0031714896071170975
ejc_pm100.SRSF7,0.0031619432921346194
utr3_all.RBMX,0.003139452901005634
newutr_all.TIAL1,0.0031169941190562155
newutr_all.QKI,0.0030926635738653214
utr3_200.SRSF2,0.003028903443128996
utr3_all.CELF6,0.0030051384567798332
newutr_all.PABPC3,0.0029562895435147145
ptc_to_ejc.ZFP36,0.0029438025182080382
utr3_all.SRSF9,0.0029077852089774855
ptc_pm100.SNRPA,0.0027880149826868365
newutr_all.HNRNPDL,0.002782011718282732
newutr_all.IFIH1,0.002781726877593459
ptc_to_ejc.SF1,0.0027615077686579032
utr3_200.HNRNPH3,0.0027590049825898413
utr3_all.TRA2B,0.0027571400945255995
threeutrseqs.uORF,0.002673506898253339
utr3_all.HNRNPDL,0.002671876057227532
utr3_all.TRA2A,0.0026597437314347964
phastcons_old3utr_first200_median,0.0026439813972984954
newutr_all.LIN28A,0.0026384438157652738
utr3_200.SRSF6,0.002630993455678575
newutr_all.ESRP2,0.0025766126815602655
ptc_pm100.NOVA2,0.002541846740800995
ejc_pm100.PUM1,0.0025382039111326274
utr3_all.SRSF5,0.0025290206528777942
newutr_all.HNRNPM,0.0025290091057362436
ptc_pm100.SRSF7,0.002512590366770861
newutr_all.G3BP2,0.002504076843118301
minus1_is_G,0.0024229236441030673
utr3_200.RBM5,0.0024170234114812288
ptc_pm100.HNRNPA1,0.0023882071359707284
PTC.minus2.aa,0.002360680810564867
utr3_200.PABPC5,0.0023439962322958953
ptc_pm100.SFPQ,0.002343506779610853
ejc_pm100.SFPQ,0.0023178110880551768
newutr_200.HNRNPM,0.0023149434050835703
ptc_pm100.SRSF5,0.0023083759211325115
newutr_all.RBM24,0.0022937398543536962
ptc_pm100.LIN28A,0.002279745010619265
utr3_all.HNRNPAB,0.0022694524022772596
ptc_to_ejc.MBNL1,0.002267519353850829
ejc_pm100.SRSF2,0.0022666271829071606
ptc_to_ejc.SRSF2,0.002255223496581796
newutr_200.SRSF6,0.0022167470660411663
utr3_all.PCBP1,0.002186897639881459
utr3_all.RBM5,0.002159400976826996
has_plus2_aug,0.0021248617537353415
utr3_200.TRA2B,0.002102500788092655
utr3_200.TARDBP,0.0020856172739693053
ptc_pm100.HNRNPA2B1,0.0020822166632752394
fiveUTR.introns,0.0020707696428971236
utr3_200.SRSF3,0.002068224219069719
utr3_200.PCBP2,0.0020659500674077183
utr3_all.FMR1,0.002059228165938222
utr3_all.ELAVL3,0.002053055843038152
newutr_all.MATR3,0.0020511705419393265
utr3_all.ELAVL2,0.002034629246764253
utr3_all.KHSRP,0.0020309613748646814
newutr_200.HNRNPF,0.0020295568259508542
utr3_200.RBM28,0.0019916261181516337
utr3_200.RBM4,0.0019826914733299685
loeuf_cat,0.0019821047159901345
newutr_200.HNRNPA1,0.0019749965189040123
newutr_all.NELFE,0.0019732612052392024
newutr_200.YBX1,0.0019701328168775676
ptc_pm100.SF1,0.001965406807187216
utr3_all.HNRNPA3,0.0019448838567647528
utr3_all.TARDBP,0.0019364361042449108
utr3_200.PCBP1,0.0019337573552320074
newutr_all.U2AF2,0.0019165560986571894
newutr_all.FXR1,0.0019029070695349166
utr3_200.PTBP1,0.0018850183270047683
utr3_all.RBM6,0.0018559163935764247
ejc_pm100.G3BP1,0.0018547311104904081
newutr_all.PABPN1,0.0018510008620758263
newutr_all.A1CF,0.0018405590470027796
ejc_pm100.HNRNPK,0.00182120765946049
ptc_pm100.QKI,0.0018198469446455857
utr3_all.HNRNPLL,0.0018145060613248443
utr3_all.SF1,0.001811670749347986
ptc_to_ejc.NELFE,0.0018069277626140997
utr3_all.PABPC5,0.0017974731209706323
newutr_all.AGO2,0.0017912692967757906
ptc_pm100.PTBP1,0.0017805835235515993
utr3_200.PUM1,0.001777959444384452
newutr_all.CELF6,0.001767103620364843
newutr_all.NONO,0.001757069153313844
newutr_200.G3BP2,0.0017485376117053694
newutr_all.KHDRBS1,0.0017373614557299473
newutr_all.RBM14,0.0017309812406943329
ptc_pm100.PCBP1,0.001724138069366088
utr3_200.CELF1,0.0017240877459982543
ejc_pm100.SRSF6,0.0017206403321756974
utr3_all.G3BP2,0.0017146714852899795
ptc_pm100.FMR1,0.0017047537936951199
newutr_all.YBX2,0.0016924801301721982
newutr_all.NOVA1,0.0016788761815838722
newutr_all.KHSRP,0.0016669551025545704
newutr_200.RBM4,0.0016597729455013425
utr3_200.HNRNPH1,0.0016530503936220504
newutr_all.NOVA2,0.0016525339525991533
ejc_pm100.HNRNPF,0.0016521117251281758
newutr_200.RC3H1,0.001644595688399751
newutr_200.TRA2A,0.0016429036672851761
utr3_all.MATR3,0.0016354011875743982
utr3_200.ZFP36,0.0016243734468376616
newutr_all.CNOT4,0.0016191371653607022
newutr_200.TRA2B,0.0016007404375434735
ejc_pm100.PCBP2,0.0015423173780764843
utr3_200.YBX1,0.0015399828995928152
utr3_all.KHDRBS1,0.0015387225773488002
newutr_200.HNRNPL,0.0015348990429888694
utr3_all.HNRNPL,0.0015310174940853921
ptc_pm100.HNRNPLL,0.0015244941440097379
ptc_pm100.CSTF2,0.0015237185274466062
utr3_200.TIAL1,0.0014834893509999125
ejc_pm100.NOVA2,0.0014790873599552976
utr3_200.RC3H1,0.00147567566899255
utr3_all.ESRP2,0.0014722579034544914
newutr_all.CPEB2,0.0014692254139672379
ejc_pm100.HNRNPA1,0.0014682424563711972
newutr_all.FXR2,0.0014664672250696642
newutr_200.MBNL1,0.0014664065931019865
utr3_all.YBX1,0.0014655962391191472
newutr_all.HNRNPL,0.0014637536529954667
utr3_all.RBFOX1,0.0014608478810522341
utr3_all.RBM4,0.0014583717740278867
newutr_all.CPEB4,0.0014566193890290435
newutr_200.PCBP2,0.0014505010744640626
ptc_pm100.HNRNPH1,0.001447958909971333
newutr_all.IGF2BP1,0.0014441460243658651
newutr_200.SRSF5,0.0014329671565136942
utr3_200.ELAVL2,0.0014325491832894628
ptc_pm100.HNRNPA3,0.0014274797581442806
ejc_pm100.ENOX1,0.0014242794456059034
utr3_all.CNOT4,0.0014114780705537329
utr3_all.CSTF2,0.0013949303702902836
ejc_pm100.PCBP1,0.0013925497137764371
ptc_pm100.ERI1,0.0013887687917078272
utr3_all.QKI,0.001385303320023258
utr3_all.ELAVL1,0.0013842162857554887
utr3_all.LIN28A,0.0013829149262778726
newutr_all.RBFOX1,0.0013726967982752446
ejc_pm100.SRSF10,0.0013679633557237964
utr3_200.TIA1,0.0013556129790107787
utr3_all.HNRNPH1,0.0013450731395495332
utr3_all.MBNL1,0.0013324213234076358
utr3_all.SART3,0.0013278123324618918
newutr_all.SRSF4,0.0013274439973311241
ejc_pm100.SRSF4,0.00131493132020287
newutr_all.ZFP36,0.0013140820754420405
ejc_pm100.HNRNPA2B1,0.0013076282143372774
ejc_pm100.YBX1,0.0013059548422698227
ptc_pm100.RBM5,0.0013023836322741253
newutr_all.KHDRBS3,0.0012927983025943506
ejc_pm100.TRA2A,0.001291290998849912
utr3_200.SF1,0.0012885598864336382
newutr_all.RBM6,0.0012720186081916758
ejc_pm100.SF1,0.0012704508515616706
ptc_to_ejc.CSTF2,0.0012693167488063114
ptc_pm100.MBNL1,0.0012677215769227078
utr3_200.HNRNPK,0.001253650568869731
newutr_all.DAZAP1,0.001249233521608926
utr3_all.TIA1,0.001245879902148135
newutr_all.SSB,0.0012386931523387067
utr3_200.HNRNPLL,0.0012377072324746227
utr3_200.SRSF10,0.0012333088882688
newutr_200.SRSF2,0.001232336290204253
ptc_pm100.YBX1,0.0012293036595469285
newutr_all.HNRNPA3,0.0012207837361770107
utr3_200.HNRNPH2,0.0012160391528792693
utr3_200.SSB,0.0012140498798345466
utr3_200.FMR1,0.0012125002069777568
ejc_pm100.HNRNPH1,0.001212472339235636
utr3_all.RBM41,0.0012090769757499402
ejc_pm100.RBM5,0.0011815561293074496
newutr_all.CELF5,0.0011814443618600168
utr3_200.HNRNPAB,0.0011772671759036988
utr3_all.SNRPB2,0.0011744624669908872
newutr_all.RC3H1,0.0011697128115605048
newutr_all.PUM2,0.001164920349429255
utr3_200.HNRNPA2B1,0.0011635605151745054
newutr_all.HNRNPAB,0.0011631170957236417
utr3_200.SRSF9,0.001159433209143091
utr3_all.U2AF2,0.0011538078796709346
utr3_all.ELAVL4,0.0011394349157820035
newutr_all.SART3,0.0011234167566247883
newutr_all.ZRANB2,0.0011161838079738616
newutr_200.HNRNPK,0.0011093951626587283
ejc_pm100.TARDBP,0.001096872371326872
newutr_200.HNRNPH2,0.001093122609827571
ejc_pm100.G3BP2,0.0010898738795869012
ptc_to_ejc.HNRNPF,0.0010835395808240038
utr3_all.PABPC1,0.0010833895887091955
newutr_200.SART3,0.0010808789431137208
pLI.cat,0.0010801688488277022
utr3_200.HNRNPA1L2,0.0010775804598579398
utr3_all.HNRNPH2,0.0010716029577957445
utr3_200.HNRNPC,0.001046063290768895
ejc_pm100.HNRNPH3,0.0010378471215481658
newutr_all.KHDRBS2,0.0010361183664797365
utr3_all.SSB,0.001031722379888125
utr3_all.HNRNPH3,0.0010303914147469766
newutr_all.PPRC1,0.0010231000571658344
utr3_all.SRSF6,0.001018772304923231
ejc_pm100.SRSF9,0.001018169134449586
newutr_all.CSTF2,0.0010151748913095344
newutr_200.ELAVL4,0.0010096728209553175
utr3_all.SNRNP70,0.001009626196099123
ptc_to_ejc.TRA2B,0.0010006441364743322
utr3_all.IGF2BP2,0.000992430797349079
utr3_all.NOVA2,0.0009923991168851324
newutr_200.SNRPA,0.0009896939635824398
newutr_all.SRSF5,0.0009832526498084265
cdsseq.introns,0.0009743233105269133
ptc_to_ejc.IFIH1,0.0009723066666078374
utr3_all.SNRPA,0.0009713673704286273
ejc_pm100.RBMX,0.000969630402840984
utr3_all.PUM1,0.0009692639295266748
ptc_pm100.SRSF10,0.0009691164187170402
ptc_pm100.TRA2A,0.0009503108493318577
ptc_pm100.ZRANB2,0.0009464797435299534
newutr_200.ZRANB2,0.0009451297952853729
ptc_to_ejc.ENOX1,0.0009372907192668233
ejc_pm100.HNRNPH2,0.0009358906147263004
utr3_all.ERI1,0.0009295227273544595
newutr_all.RBM42,0.0009230317103387351
ptc_to_ejc.TIA1,0.0009202899046657406
ptc_pm100.PCBP2,0.0009175506055243245
newutr_all.IGHMBP2,0.0009157883009679399
newutr_200.RBMX,0.0009095208120023601
utr3_all.KHDRBS2,0.0009084188253300576
ptc_pm100.CELF6,0.000905534185328552
ptc_pm100.PUM1,0.0009027277500106899
utr3_all.ZRANB2,0.0009024103886788584
utr3_all.NONO,0.0008914300227350958
newutr_all.PUM1,0.0008869623388573918
threeUTR.introns,0.0008865172918757294
newutr_all.TARDBP,0.0008864199332764928
newutr_all.RBM46,0.0008840647196235557
utr3_200.CELF6,0.0008791428035783451
newutr_all.RBM41,0.0008627549416382223
utr3_all.G3BP1,0.0008516476887724779
newutr_all.ELAVL3,0.0008503023985553321
ptc_to_ejc.HNRNPA2B1,0.0008408720416061188
ptc_to_ejc.SRSF7,0.0008382263982450129
ejc_pm100.SRSF5,0.0008315993951951158
utr3_all.HNRNPF,0.0008290962207380596
utr3_all.SAMD4A,0.0008248865779266442
ptc_pm100.SRSF4,0.0008116880812711902
utr3_all.IGHMBP2,0.0007976724190679342
newutr_200.QKI,0.0007964383654328182
newutr_200.HNRNPA3,0.0007890079798443963
utr3_all.PCBP2,0.0007861968188307142
utr3_all.SRSF3,0.000783336701643575
ejc_pm100.KHSRP,0.000782406983056149
newutr_all.TRA2A,0.0007819923667413133
newutr_200.TIA1,0.0007809765630155662
utr3_all.TIAL1,0.0007767237858450113
newutr_all.RBMS3,0.0007672928735321453
utr3_all.RC3H1,0.0007651447270027942
utr3_all.PABPC3,0.0007533349603046582
plus1_is_G,0.0007429034769418473
newutr_all.IGF2BP2,0.0007325758574131968
utr3_200.NELFE,0.0007302893570946506
ptc_pm100.HNRNPH3,0.0007286577491427231
newutr_200.TARDBP,0.0007271673400262001
utr3_200.FUS,0.0007257198824797851
newutr_all.ERI1,0.0007230767930683682
